,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,JL,JL,JL,JL,JL,JL,JL,JL,JL,JL,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,,,,
date,air_GW,real_pop_GW,pop_GW,pop_male_GW,pop_female_GW,mvpop_GW,covid_total_GW,covid_new_GW,new_user_GW,station_GW,air_DDM,real_pop_DDM,pop_DDM,pop_male_DDM,pop_female_DDM,mvpop_DDM,covid_total_DDM,covid_new_DDM,new_user_DDM,station_DDM,air_SD,real_pop_SD,pop_SD,pop_male_SD,pop_female_SD,mvpop_SD,covid_total_SD,covid_new_SD,new_user_SD,station_SD,air_JL,real_pop_JL,pop_JL,pop_male_JL,pop_female_JL,mvpop_JL,covid_total_JL,covid_new_JL,new_user_JL,station_JL,keyword_diet,keyword_exercise,keyword_healthypleasure,keyword_environment,keyword_green,keyword_dust,keyword_,temp_avg,temp_low,temp_high,rain(mm),relative_humidity,distance_stage,distance_total,distance_value,distance_nominal,GW_demand,DDM_demand,SD_demand,JL_demand
2018-01-01,2124,421.214,357785,161143,174428,260642,0,0,19.016,37,2319.5,391.79,350118,159955,175005,115293,0,0,13.688,42,1875.5,343.11,304955,133233,150316,139984,0,0,21.976,50,48,396.649,407731,179184,203027,87499,0,0,5.92,45,79.13131,11.00717,0,0.00777,0.00963,0.00353,5.71219,-1.3,-5.1,3.8,0,39.1,0,0,0,0,0.592,0.368,0.58,0.162
2018-01-02,144880.6667,408.056,357785,161143,174428,438460,0,0,19.016,37,144613.3333,403.107,350118,159955,175005,220156,0,0,13.688,42,1771,371.442,304955,133233,150316,357570,0,0,21.976,50,111048.3333,374.86,407731,179184,203027,192160,0,0,5.92,46,87.53534,12.38488,0,0.01955,0.01476,0.00605,5.19495,-1.8,-4.3,1.8,0,42,0,0,0,0,0.84,0.614,1.034,0.26
2018-01-03,114977,406.174,357785,161143,174428,444544,0,0,19.016,37,37,404.754,350118,159955,175005,220454,0,0,13.688,42,1867,374.179,304955,133233,150316,369841,0,0,21.976,50,101313,371.099,407731,179184,203027,194893,0,0,5.92,46,77.07925,11.24646,0,0.01904,0.01648,0.00386,2.49009,-4.7,-7.1,-0.4,0,42.3,0,0,0,0,0.828,0.576,0.952,0.288
2018-01-04,2216,409.168,357785,161143,174428,446740,0,0,19.016,37,1774,406.373,350118,159955,175005,221875,0,0,13.688,42,2473,376.097,304955,133233,150316,370107,0,0,21.976,50,161784,374.114,407731,179184,203027,195706,0,0,5.92,46,73.37393,9.94126,0,0.02095,0.01643,0.0027,2.57964,-4.7,-8.7,-0.7,0,43,0,0,0,0,0.792,0.542,0.914,0.292
2018-01-05,3282,408.793,357785,161143,174428,478999,0,0,19.016,37,3182.5,403.423,350118,159955,175005,239216,0,0,13.688,42,3579.5,372.976,304955,133233,150316,384134,0,0,21.976,50,208920.3333,370.363,407731,179184,203027,202143,0,0,5.92,46,69.87165,9.2379,0,0.0175,0.02072,0.004,3.32875,-3,-5.6,1.6,0,48.4,0,0,0,0,0.818,0.602,0.994,0.308
2018-01-06,2725,426.19,357785,161143,174428,403019,0,0,19.016,37,3380.5,402.754,350118,159955,175005,201312,0,0,13.688,42,191546,358.028,304955,133233,150316,251037,0,0,21.976,50,2276.5,389.275,407731,179184,203027,150899,0,0,5.92,46,62.04771,8.39678,0,0.00996,0.0114,0.00214,3.41038,-2.8,-6.8,2.9,0,45.8,0,0,0,0,0.618,0.522,0.696,0.228
2018-01-07,228553.3333,424.531,357785,161143,174428,291662,0,0,19.016,37,215285,403.785,350118,159955,175005,144430,0,0,13.688,42,56,351.144,304955,133233,150316,174433,0,0,21.976,50,3175.5,400.154,407731,179184,203027,110772,0,0,5.92,46,79.50837,9.5207,0,0.01112,0.01136,0.00353,5.2784,-0.8,-5.7,2.8,0,42.1,0,0,0,0,0.598,0.478,0.606,0.238
2018-01-08,211922,406.706,357785,161143,174428,440725,0,0,19.016,37,59,405.288,350118,159955,175005,227888,0,0,13.688,42,2978,370.369,304955,133233,150316,364747,0,0,21.976,50,2878,373.853,407731,179184,203027,198819,0,0,5.92,46,87.65136,11.493,0,0.02118,0.01504,0.00549,4.13718,1.3,-1.2,4,0.9,51.9,0,0,0,0,0.742,0.528,0.848,0.202
2018-01-09,2022.5,404.686,357785,161143,174428,442029,0,0,19.016,37,1868.5,404.131,350118,159955,175005,218673,0,0,13.688,42,151448,372.225,304955,133233,150316,371615,0,0,21.976,50,141181.6667,371.388,407731,179184,203027,197323,0,0,5.92,46,74.88216,11.03618,0,0.02067,0.01713,0.00442,1.7936,-4.2,-6.1,-1.2,0.5,59.4,0,0,0,0,0.652,0.488,0.838,0.206
2018-01-10,1619,406.774,357785,161143,174428,452766,0,0,19.016,37,124512.3333,403.917,350118,159955,175005,214744,0,0,13.688,42,38,372.773,304955,133233,150316,373292,0,0,21.976,50,1620.5,371.627,407731,179184,203027,197614,0,0,5.92,46,69.74113,9.5642,0,0.02244,0.0148,0.00298,1.25731,-7.5,-10.3,-4.8,0.3,52,0,0,0,0,0.5,0.406,0.636,0.16
2018-01-11,111212.3333,405.727,357785,161143,174428,426164,0,0,19.016,37,1866.5,403.563,350118,159955,175005,202008,0,0,13.688,42,1767.5,371.558,304955,133233,150316,359781,0,0,21.976,50,1765.5,372.536,407731,179184,203027,187721,0,0,5.92,46,62.9686,9.25241,0,0.02142,0.01764,0.00339,1.00812,-11.1,-13.6,-7.4,0,49.8,0,0,0,0,0.52,0.346,0.596,0.138
2018-01-12,1208.5,408.292,357785,161143,174428,446283,0,0,19.016,37,1312.5,403.214,350118,159955,175005,207743,0,0,13.688,42,1462.5,372.219,304955,133233,150316,360026,0,0,21.976,50,87509.66667,370.565,407731,179184,203027,188369,0,0,5.92,46,58.0741,8.36052,0,0.02021,0.01639,0.00302,1.07416,-10.2,-15.3,-5.4,0,35.4,0,0,0,0,0.514,0.318,0.596,0.136
2018-01-13,60,423.432,357785,161143,174428,400798,0,0,19.016,37,2780.5,405.747,350118,159955,175005,198583,0,0,13.688,42,185284,358.66,304955,133233,150316,252838,0,0,21.976,50,181651.3333,385.66,407731,179184,203027,153512,0,0,5.92,46,55.08665,7.36712,0,0.0101,0.01289,0.00312,8.17932,-4.4,-6.6,-1.2,0.4,67.3,0,0,0,0,0.492,0.296,0.454,0.188
2018-01-14,3537,424.829,357785,161143,174428,306175,0,0,19.016,37,225890.6667,404.445,350118,159955,175005,150114,0,0,13.688,42,248892,350.624,304955,133233,150316,187500,0,0,21.976,50,242656,396.259,407731,179184,203027,112894,0,0,5.92,46,72.63432,8.49104,0,0.01001,0.01299,0.0054,59.34527,0.6,-4.4,5.4,0,64.1,0,0,0,0,0.496,0.414,0.554,0.17
2018-01-15,245956.3333,403.802,357785,161143,174428,444831,0,0,19.016,37,265165,404.771,350118,159955,175005,230283,0,0,13.688,42,3630,370.065,304955,133233,150316,367022,0,0,21.976,50,73,370.998,407731,179184,203027,198262,0,0,5.92,46,83.38046,10.41983,0,0.02053,0.01611,0.01257,47.26998,4.7,1.8,7.7,0.2,63.9,0,0,0,0,0.722,0.52,0.918,0.26
2018-01-16,52556,403.474,357785,161143,174428,442738,0,0,19.016,37,416533,403.8,350118,159955,175005,224630,0,0,13.688,42,54554,371.315,304955,133233,150316,369323,0,0,21.976,50,45369705.33,369.82,407731,179184,203027,197530,0,0,5.92,46,74.03379,10.1733,0,0.02351,0.01844,0.01536,36.51408,3.5,0.1,6.8,0,59.1,0,0,0,0,0.844,0.63,1.012,0.258
2018-01-17,39708701,403.263,357785,161143,174428,458262,0,0,19.016,37,62556,401.858,350118,159955,175005,230402,0,0,13.688,42,59557,368.723,304955,133233,150316,379743,0,0,21.976,50,39709038.67,369.184,407731,179184,203027,202163,0,0,5.92,46,68.43593,10.06453,0,0.02337,0.01639,0.019,34.72774,4.5,2.4,8.7,0,64.1,0,0,0,0,0.82,0.59,0.9,0.24
