,date,air_GW,real_pop_GW,pop_GW,pop_male_GW,pop_female_GW,mvpop_GW,station_GW,air_DDM,real_pop_DDM,pop_DDM,pop_male_DDM,pop_female_DDM,mvpop_DDM,station_DDM,air_SD,real_pop_SD,pop_SD,pop_male_SD,pop_female_SD,mvpop_SD,station_SD,air_JL,real_pop_JL,pop_JL,pop_male_JL,pop_female_JL,mvpop_JL,station_JL,keyword_diet,keyword_exercise,keyword_healthypleasure,keyword_environment,keyword_green,keyword_dust,keyword_,temp_avg,temp_low,temp_high,rain(mm),relative_humidity,distance_stage,distance_total,distance_value,distance_nominal,GW_demand,DDM_demand,SD_demand,JL_demand
0,1/1/2018,42.0,421.214,357785,161143,174428,260642,37,46.0,391.79,350118,159955,175005,115293,42,48.0,343.11,304955,133233,150316,139984,50,48.0,396.649,407731,179184,203027,87499,45,79.13131,11.00717,0.0,0.00777,0.00963,0.00353,5.71219,-1.3,-5.1,3.8,0.0,39.1,0.0,0,0.0,0,0.592,0.368,0.58,0.162
1,1/2/2018,43.0,408.056,357785,161143,174428,438460,37,43.0,403.107,350118,159955,175005,220156,42,42.0,371.442,304955,133233,150316,357570,50,45.0,374.86,407731,179184,203027,192160,46,87.53534,12.38488,0.0,0.01955,0.01476,0.00605,5.19495,-1.8,-4.3,1.8,0.0,42.0,0.0,0,0.0,0,0.84,0.614,1.034,0.26
2,1/3/2018,34.0,406.174,357785,161143,174428,444544,37,37.0,404.754,350118,159955,175005,220454,42,37.0,374.179,304955,133233,150316,369841,50,39.0,371.099,407731,179184,203027,194893,46,77.07925,11.24646,0.0,0.01904,0.01648,0.00386,2.49009,-4.7,-7.1,-0.4,0.0,42.3,0.0,0,0.0,0,0.828,0.576,0.952,0.288
3,1/4/2018,44.0,409.168,357785,161143,174428,446740,37,48.0,406.373,350118,159955,175005,221875,42,46.0,376.097,304955,133233,150316,370107,50,52.0,374.114,407731,179184,203027,195706,46,73.37393,9.94126,0.0,0.02095,0.01643,0.0027,2.57964,-4.7,-8.7,-0.7,0.0,43.0,0.0,0,0.0,0,0.792,0.542,0.914,0.292
4,1/5/2018,64.0,408.793,357785,161143,174428,478999,37,65.0,403.423,350118,159955,175005,239216,42,59.0,372.976,304955,133233,150316,384134,50,67.0,370.363,407731,179184,203027,202143,46,69.87165,9.2379,0.0,0.0175,0.02072,0.004,3.32875,-3.0,-5.6,1.6,0.0,48.4,0.0,0,0.0,0,0.818,0.602,0.994,0.308
5,1/6/2018,54.0,426.19,357785,161143,174428,403019,37,50.0,402.754,350118,159955,175005,201312,42,46.0,358.028,304955,133233,150316,251037,50,53.0,389.275,407731,179184,203027,150899,46,62.04771,8.39678,0.0,0.00996,0.0114,0.00214,3.41038,-2.8,-6.8,2.9,0.0,45.8,0.0,0,0.0,0,0.618,0.522,0.696,0.228
6,1/7/2018,56.0,424.531,357785,161143,174428,291662,37,58.0,403.785,350118,159955,175005,144430,42,56.0,351.144,304955,133233,150316,174433,50,55.0,400.154,407731,179184,203027,110772,46,79.50837,9.5207,0.0,0.01112,0.01136,0.00353,5.2784,-0.8,-5.7,2.8,0.0,42.1,0.0,0,0.0,0,0.598,0.478,0.606,0.238
7,1/8/2018,63.0,406.706,357785,161143,174428,440725,37,59.0,405.288,350118,159955,175005,227888,42,57.0,370.369,304955,133233,150316,364747,50,56.0,373.853,407731,179184,203027,198819,46,87.65136,11.493,0.0,0.02118,0.01504,0.00549,4.13718,1.3,-1.2,4.0,0.9,51.9,0.0,0,0.0,0,0.742,0.528,0.848,0.202
8,1/9/2018,40.0,404.686,357785,161143,174428,442029,37,45.0,404.131,350118,159955,175005,218673,42,43.0,372.225,304955,133233,150316,371615,50,45.0,371.388,407731,179184,203027,197323,46,74.88216,11.03618,0.0,0.02067,0.01713,0.00442,1.7936,-4.2,-6.1,-1.2,0.5,59.4,0.0,0,0.0,0,0.652,0.488,0.838,0.206
9,1/10/2018,32.0,406.774,357785,161143,174428,452766,37,37.0,403.917,350118,159955,175005,214744,42,36.0,372.773,304955,133233,150316,373292,50,41.0,371.627,407731,179184,203027,197614,46,69.74113,9.5642,0.0,0.02244,0.0148,0.00298,1.25731,-7.5,-10.3,-4.8,0.3,52.0,0.0,0,0.0,0,0.5,0.406,0.636,0.16
