date,air_GW,real_pop_GW,pop_GW,pop_male_GW,pop_female_GW,mvpop_GW,station_GW,air_DDM,real_pop_DDM,pop_DDM,pop_male_DDM,pop_female_DDM,mvpop_DDM,station_DDM,air_SD,real_pop_SD,pop_SD,pop_male_SD,pop_female_SD,mvpop_SD,station_SD,air_JL,real_pop_JL,pop_JL,pop_male_JL,pop_female_JL,mvpop_JL,station_JL,keyword_diet,keyword_exercise,keyword_healthypleasure,keyword_environment,keyword_green,keyword_dust,keyword_,temp_avg,temp_low,temp_high,rain(mm),relative_humidity,distance_stage,distance_total,distance_value,distance_nominal,GW_demand,DDM_demand,SD_demand,JL_demand
1/1/2018,0.36,0.832483488,0.773940904,-0.892288557,0.794929157,-0.701285421,-0.518518519,0.625,0.193880631,0.8580701,-0.991445295,0.876368876,-0.961695601,-0.25,0.518518519,-1.164808506,0.353751557,-2.420091324,0.472544803,-1.296923643,-0.3,0.708333333,2.228144845,1.282242991,-0.58984286,1.22351091,-1.37005089,-0.222222222,1.947042817,0.637251897,0,-1.228172293,-1.577006508,-0.528135048,0.288467766,-0.863636364,-0.785714286,-0.891428571,0,-1.00921659,0,0,0,0,-0.831932773,-0.777027027,-0.849244232,-0.734903382
1/2/2018,0.4,0.38219089,0.773940904,-0.892288557,0.794929157,0.46429859,-0.518518519,0.5,0.620840564,0.8580701,-0.991445295,0.876368876,0.461661667,-0.25,0.296296296,0.297563745,0.353751557,-2.420091324,0.472544803,0.159816557,-0.3,0.583333333,0.756114039,1.282242991,-0.58984286,1.22351091,0.1918904,-0.166666667,2.458516549,1.258166429,0,-0.542491269,-0.464208243,-0.325562701,0.218091721,-0.892045455,-0.741758242,-1.005714286,0,-0.875576037,0,0,0,0,-0.791855204,-0.717664093,-0.758949881,-0.70531401
1/3/2018,0.04,0.317785155,0.773940904,-0.892288557,0.794929157,0.504178766,-0.518518519,0.25,0.682977439,0.8580701,-0.991445295,0.876368876,0.465706568,-0.25,0.111111111,0.438835553,0.353751557,-2.420091324,0.472544803,0.241971011,-0.3,0.333333333,0.502026753,1.282242991,-0.58984286,1.22351091,0.232677183,-0.166666667,1.822153355,0.745096537,0,-0.57217695,-0.091106291,-0.501607717,-0.149933466,-1.056818182,-0.895604396,-1.131428571,0,-0.861751152,0,0,0,0,-0.793794441,-0.726833977,-0.775258552,-0.696859903
1/4/2018,0.44,0.420245714,0.773940904,-0.892288557,0.794929157,0.518573386,-0.518518519,0.708333333,0.744057949,0.8580701,-0.991445295,0.876368876,0.484994503,-0.25,0.444444444,0.537834211,0.353751557,-2.420091324,0.472544803,0.243751883,-0.3,0.875,0.705715444,1.282242991,-0.58984286,1.22351091,0.244810244,-0.166666667,1.596645611,0.156861243,0,-0.461001164,-0.101952278,-0.594855305,-0.137749229,-1.056818182,-0.983516484,-1.148571429,0,-0.829493088,0,0,0,0,-0.799612153,-0.73503861,-0.782816229,-0.695652174
1/5/2018,1.24,0.407412477,0.773940904,-0.892288557,0.794929157,0.730028776,-0.518518519,1.416666667,0.632762393,0.8580701,-0.991445295,0.876368876,0.720372457,-0.25,0.925925926,0.376742025,0.353751557,-2.420091324,0.472544803,0.337662772,-0.3,1.5,0.452303743,1.282242991,-0.58984286,1.22351091,0.340874834,-0.166666667,1.383494989,-0.160133223,0,-0.661816065,0.828633406,-0.490353698,-0.035824786,-0.960227273,-0.813186813,-1.017142857,0,-0.580645161,0,0,0,0,-0.795410472,-0.720559846,-0.76690533,-0.690821256
1/6/2018,0.84,1.002771979,0.773940904,-0.892288557,0.794929157,0.231985422,-0.518518519,0.791666667,0.607522825,0.8580701,-0.991445295,0.876368876,0.205882752,-0.25,0.444444444,-0.394807474,0.353751557,-2.420091324,0.472544803,-0.553422823,-0.3,0.916666667,1.729968923,1.282242991,-0.58984286,1.22351091,-0.423881087,-0.166666667,0.907325843,-0.539214184,0,-1.100698487,-1.193058568,-0.639871383,-0.02471815,-0.948863636,-0.879120879,-0.942857143,0,-0.700460829,0,0,0,0,-0.827731092,-0.739864865,-0.826173429,-0.714975845
1/7/2018,0.92,0.945997741,0.773940904,-0.892288557,0.794929157,-0.497951585,-0.518518519,1.125,0.646419679,0.8580701,-0.991445295,0.876368876,-0.566204715,-0.25,0.814814815,-0.750129039,0.353751557,-2.420091324,0.472544803,-1.066287283,-0.3,1,2.464937171,1.282242991,-0.58984286,1.22351091,-1.022728969,-0.166666667,1.969990889,-0.032679238,0,-1.033178114,-1.201735358,-0.528135048,0.229445988,-0.835227273,-0.818681319,-0.948571429,0,-0.870967742,0,0,0,0,-0.830963154,-0.750482625,-0.84407319,-0.711956522
1/8/2018,1.2,0.335991239,0.773940904,-0.892288557,0.794929157,0.4791455,-0.518518519,1.166666667,0.703123821,0.8580701,-0.991445295,0.876368876,0.56661192,-0.25,0.851851852,0.242180242,0.353751557,-2.420091324,0.472544803,0.207866635,-0.3,1.041666667,0.688082692,1.282242991,-0.58984286,1.22351091,0.291268076,-0.166666667,2.465577588,0.85620865,0,-0.447613504,-0.403470716,-0.370578778,0.074170778,-0.715909091,-0.571428571,-0.88,3,-0.419354839,0,0,0,0,-0.807692308,-0.738416988,-0.795942721,-0.722826087
1/9/2018,0.28,0.266862873,0.773940904,-0.892288557,0.794929157,0.487693125,-0.518518519,0.583333333,0.659473327,0.8580701,-0.991445295,0.876368876,0.441532176,-0.25,0.333333333,0.337978734,0.353751557,-2.420091324,0.472544803,0.253847956,-0.3,0.583333333,0.521551142,1.282242991,-0.58984286,1.22351091,0.268942051,-0.166666667,1.68843729,0.650326297,0,-0.477299185,0.04989154,-0.45659164,-0.244698394,-1.028409091,-0.840659341,-1.177142857,1.666666667,-0.073732719,0,0,0,0,-0.822236587,-0.748069498,-0.797931583,-0.721618357
1/10/2018,-0.04,0.338318333,0.773940904,-0.892288557,0.794929157,0.558073376,-0.518518519,0.25,0.651399683,0.8580701,-0.991445295,0.876368876,0.388201919,-0.25,0.074074074,0.366264065,0.353751557,-2.420091324,0.472544803,0.265075486,-0.3,0.416666667,0.537697608,1.282242991,-0.58984286,1.22351091,0.273284881,-0.166666667,1.375551472,-0.013074399,0,-0.37427241,-0.455531453,-0.572347267,-0.317666395,-1.215909091,-1.071428571,-1.382857143,1,-0.414746544,0,0,0,0,-0.846800259,-0.767857143,-0.838106603,-0.735507246
1/11/2018,0,0.302487937,0.773940904,-0.892288557,0.794929157,0.383699208,-0.518518519,0.25,0.638044216,0.8580701,-0.991445295,0.876368876,0.215329904,-0.25,0,0.303551151,0.353751557,-2.420091324,0.472544803,0.174619221,-0.3,0.25,0.599108229,1.282242991,-0.58984286,1.22351091,0.125643589,-0.166666667,0.963371698,-0.15359377,0,-0.433643772,0.160520607,-0.539389068,-0.351571365,-1.420454545,-1.252747253,-1.531428571,0,-0.516129032,0,0,0,0,-0.843568197,-0.782335907,-0.846062053,-0.742149758
1/12/2018,-0.36,0.390267274,0.773940904,-0.892288557,0.794929157,0.515577784,-0.518518519,-0.208333333,0.624877386,0.8580701,-0.991445295,0.876368876,0.29317389,-0.25,-0.333333333,0.337669041,0.353751557,-2.420091324,0.472544803,0.176259499,-0.3,-0.083333333,0.465950547,1.282242991,-0.58984286,1.22351091,0.135314221,-0.166666667,0.665489827,-0.555556056,0,-0.504074505,-0.110629067,-0.569131833,-0.342585916,-1.369318182,-1.346153846,-1.417142857,0,-1.179723502,0,0,0,0,-0.844537815,-0.789092664,-0.846062053,-0.742753623
1/13/2018,0.88,0.908387803,0.773940904,-0.892288557,0.794929157,0.217426929,-0.518518519,1.25,0.720440655,0.8580701,-0.991445295,0.876368876,0.168840688,-0.25,0.666666667,-0.362186435,0.353751557,-2.420091324,0.472544803,-0.541365112,-0.3,0.958333333,1.48574517,1.282242991,-0.58984286,1.22351091,-0.384885161,-0.166666667,0.483672032,-1.003267473,0,-1.092549476,-0.869848156,-0.561093248,0.624147239,-1.039772727,-0.868131868,-1.177142857,1.333333333,0.290322581,0,0,0,0,-0.848093083,-0.794401544,-0.874303898,-0.72705314
1/14/2018,1.64,0.956195887,0.773940904,-0.892288557,0.794929157,-0.40281993,-0.518518519,1.875,0.671319701,0.8580701,-0.991445295,0.876368876,-0.489052977,-0.25,1.185185185,-0.776969134,0.353751557,-2.420091324,0.472544803,-0.978803602,-0.3,1.708333333,2.201797054,1.282242991,-0.58984286,1.22351091,-0.991060635,-0.166666667,1.551632553,-0.496732527,0,-1.097788126,-0.848156182,-0.377813505,7.585823018,-0.755681818,-0.747252747,-0.8,0,0.142857143,0,0,0,0,-0.847446671,-0.765926641,-0.854415274,-0.732487923
1/15/2018,1.6,0.236610657,0.773940904,-0.892288557,0.794929157,0.50606003,-0.518518519,2,0.683618803,0.8580701,-0.991445295,0.876368876,0.599120438,-0.25,1.407407407,0.226489109,0.353751557,-2.420091324,0.472544803,0.223097781,-0.3,1.75,0.495203351,1.282242991,-0.58984286,1.22351091,0.282955512,-0.166666667,2.205648344,0.372546015,0,-0.485448196,-0.171366594,0.198553055,5.942850418,-0.522727273,-0.406593407,-0.668571429,0.666666667,0.133640553,0,0,0,0,-0.81092437,-0.74034749,-0.782020684,-0.70531401
1/16/2018,3.04,0.225385853,0.773940904,-0.892288557,0.794929157,0.492340568,-0.518518519,3.875,0.646985588,0.8580701,-0.991445295,0.876368876,0.522389478,-0.25,2.777777778,0.291008568,0.353751557,-2.420091324,0.472544803,0.238502996,-0.3,3.541666667,0.415619511,1.282242991,-0.58984286,1.22351091,0.27203128,-0.166666667,1.636805041,0.261438409,0,-0.311990687,0.334056399,0.422829582,4.479394965,-0.590909091,-0.5,-0.72,0,-0.087557604,0,0,0,0,-0.791208791,-0.713803089,-0.763325378,-0.705917874
1/17/2018,3.44,0.218165018,0.773940904,-0.892288557,0.794929157,0.594099255,-0.518518519,3.916666667,0.573719158,0.8580701,-0.991445295,0.876368876,0.600735683,-0.25,2.962962963,0.157221018,0.353751557,-2.420091324,0.472544803,0.308264988,-0.3,3.541666667,0.372652344,1.282242991,-0.58984286,1.22351091,0.34117331,-0.166666667,1.296116307,0.212417299,0,-0.320139697,-0.110629067,0.715434084,4.236344266,-0.534090909,-0.373626374,-0.611428571,0,0.142857143,0,0,0,0,-0.795087266,-0.723455598,-0.785600636,-0.711352657
1/18/2018,2.12,0.279935663,0.773940904,-0.892288557,0.794929157,0.573752761,-0.518518519,2.708333333,0.549385045,0.8580701,-0.991445295,0.876368876,0.590094064,-0.25,2.037037037,0.238773614,0.353751557,-2.420091324,0.472544803,0.274689519,-0.3,2.75,0.348939333,1.282242991,-0.58984286,1.22351091,0.31041533,-0.166666667,1.031774066,-0.303920066,0,-0.344586729,0.52494577,0.715434084,4.65081514,-0.670454545,-0.489010989,-0.851428571,0,-0.064516129,0,0,0,0,-0.800258565,-0.711872587,-0.76372315,-0.714975845
1/19/2018,1.12,0.206016221,0.773940904,-0.892288557,0.794929157,0.771541129,-0.518518519,1.416666667,0.569682336,0.8580701,-0.991445295,0.876368876,0.822390835,-0.25,1.111111111,0.151233612,0.353751557,-2.420091324,0.472544803,0.345944498,-0.3,1.458333333,0.263883259,1.282242991,-0.58984286,1.22351091,0.393884221,-0.166666667,0.697263893,-0.571897929,0,-0.531431898,0.232104121,0.213022508,4.607887984,-0.732954545,-0.642857143,-0.794285714,0,-0.829493088,0,0,0,0,-0.768584357,-0.712837838,-0.740652347,-0.695048309
1/20/2018,2.72,0.867287225,0.773940904,-0.892288557,0.794929157,0.30310638,-0.518518519,3.291666667,0.487436807,0.8580701,-0.991445295,0.876368876,0.340043164,-0.25,2.62962963,-0.479095695,0.353751557,-2.420091324,0.472544803,-0.479536705,-0.3,3.25,1.535738414,1.282242991,-0.58984286,1.22351091,-0.324846658,-0.166666667,0.387025508,-1.029411765,0,-1.054714785,-0.809110629,0.194533762,3.923780148,-0.664772727,-0.56043956,-0.714285714,0,-0.156682028,0,0,0,0,-0.803167421,-0.748552124,-0.804693715,-0.700483092
1/21/2018,1.24,0.888504842,0.773940904,-0.892288557,0.794929157,-0.397490774,-0.518518519,1.416666667,0.560891874,0.8580701,-0.991445295,0.876368876,-0.433089463,-0.25,1.074074074,-0.941003407,0.353751557,-2.420091324,0.472544803,-1.034673451,-0.3,1.458333333,2.278002973,1.282242991,-0.58984286,1.22351091,-0.95237811,-0.166666667,1.129302459,-0.117647059,0,-1.062863795,-0.546637744,0.176045016,3.830560869,-0.767045455,-0.708791209,-0.794285714,0,-1.124423963,0,0,0,0,-0.82029735,-0.757722008,-0.835719968,-0.702898551
